Key,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,Run51,Run52,Run53,Run54,Run55,Run56,Run57,Run58,Run59,Run60,Run61,Run62,Run63,Run64,Run65,Run66,Run67,Run68,Run69,Run70,Run71,Run72,Run73,Run74,Run75,Run76,Run77,Run78,Run79,Run80,Run81,Run82,Run83,Run84,Run85,Run86,Run87,Run88,Run89,Run90,Run91,Run92,Run93,Run94,Run95,Run96,Run97,Run98,Run99,Run100
user1000385178204227360,1800,2500,3500,3900,4600,5400,5700,6300,7100,7800,8400,9300,10400,11000,11600,12300,12600,13200,13600,14400,14900,15600,15900,16700,17500,18000,19000,19600,19900,20500,21400,22100,22800,23400,24000,25500,26500,27200,28200,28800,29200,29800,30600,31400,32000,32600,33100,34200,34800,35500,36500,37200,38200,38700,39600,40700,41300,41700,42100,42600,42900,43800,44700,45300,45900,46400,46800,47200,47500,47700,48400,48800,49400,49800,50600,51600,52300,53200,54100,55000,55900,56600,56700,57500,58300,58800,59500,60000,60700,61400,61800,62600,63500,64100,64500,65500,66000,67200,67700,68000
user1000726823498525925,1800,2000,2600,3300,3800,5300,5900,6800,7400,8200,9200,10400,11400,12500,13700,14800,15700,16900,18100,18600,19400,20300,21200,22200,23600,24200,24800,26000,26800,27800,28500,29100,29800,30300,30800,31300,32100,32600,33400,34100,35400,36200,37000,38200,38600,39200,39700,40400,41500,42000,43100,43500,44000,44700,45800,46900,47900,48700,49900,50600,51500,52900,53700,54700,55500,56000,57100,58000,59100,59800,60100,61000,62200,63300,63800,65000,66100,67600,68400,69100,69500,70400,71100,72300,73100,73400,74200,75400,76100,76900,77900,79200,79700,80000,80200,81200,81800,82800,82900,84300
user1005413005517793606,2400,3300,4400,5600,6900,8300,9500,11000,12300,13500,15100,17100,18700,19800,21800,23000,23700,24800,26100,27200,28400,29600,31100,33000,34000,35500,36600,38200,39900,42100,43300,44500,46200,47500,49200,50500,52200,53200,54700,56600,57500,59400,61700,63900,65800,67200,68700,69600,71200,72300,74400,76000,77500,78700,80800,82400,83900,85000,86500,87500,89200,90400,92400,94200,96000,97800,99300,100700,102300,103800,105200,106800,108600,109500,111600,112500,114500,116400,117700,118700,120200,121500,122800,124300,125600,127600,129000,130900,132200,133000,135200,136900,138000,139900,141400,143100,144800,145500,147500,147900
user1005631320735635489,2100,3000,4200,5000,5600,6500,7000,8200,9200,10100,10600,11600,12300,12800,13800,14800,15500,16300,17100,18200,19100,20600,21600,22100,23100,24100,24900,25700,26600,27500,28300,28800,29700,30000,31000,32100,32900,33900,35600,36600,37800,38800,39500,40300,40800,41500,42400,42700,43500,44400,45500,45900,46400,47100,47800,48800,49500,50500,51500,52100,53200,54500,54900,55500,56800,57900,58500,59100,59800,60700,61700,62700,63600,64200,64500,65200,65900,66400,67000,67800,69000,69900,70700,71700,72200,73100,74200,75200,75600,76900,77700,78600,79500,80300,81200,82200,82900,83900,84900,86100
user1010099187537061287,1400,1800,2500,3000,3600,4900,5400,6300,7100,8300,8500,9100,10300,10700,11500,12200,12700,13500,14100,14700,15600,16500,17400,18200,18700,19400,20100,20700,21400,22100,22900,23700,24300,24900,25600,26400,27000,27800,28600,28800,29200,29500,30200,31000,31500,32000,32600,33600,34300,34900,35900,36700,37400,38100,39500,40200,41000,41500,42400,42700,43000,43800,44600,45700,46200,46900,47800,48400,48900,49700,50300,50600,51300,51700,52300,52700,53500,54000,55000,56000,56800,57400,57800,58400,59200,60200,61300,61900,62600,63100,63800,64400,65700,66200,67000,67700,68700,69400,69800,70600
user1015345330068469416,2100,3100,3500,4600,5300,6600,7600,8400,9200,10300,11500,12600,14000,14700,15600,16600,16900,18200,19300,20300,21400,21700,22700,23900,24600,25900,27200,28400,29400,30200,31000,32100,32900,33800,34900,35600,36200,37300,38000,38500,39400,40300,41000,42000,42500,43700,44500,45600,47400,48300,49200,50200,50700,51900,53000,54200,55400,56800,58000,58800,59600,60600,61200,62100,62900,64100,65100,65600,66400,67200,67700,68100,69300,71000,72000,72700,73300,74200,75300,76500,77600,78100,79400,80600,81600,82300,83700,84800,85800,86600,87600,88800,89500,91100,92200,93600,94500,95600,96200,97400
user1096402211991364026,1500,1900,2300,2700,3200,3500,4000,4300,4700,4900,5800,6700,7600,7900,8600,9100,9600,10400,11600,12300,12900,13900,14300,15200,15700,16600,17100,17600,18300,18900,19400,19800,20000,21000,21400,21800,22500,23200,24100,24900,25600,26100,27100,28000,28700,29400,29900,30500,30800,31400,32100,32400,33200,34100,34900,35400,35900,36600,37200,37800,38800,39500,40200,41000,41900,42800,43700,43900,44600,45100,45800,46500,47400,48000,48700,49200,49800,50000,50800,51500,52400,52700,53200,54100,55300,56100,57300,57800,58300,59200,59900,60700,61200,61300,61900,62900,64100,64800,65700,66700
user1101088394010631707,1900,3000,4400,4900,5900,6800,7400,8400,9100,9700,10500,11300,12200,12800,13400,14700,15500,16400,18100,18500,19400,20300,21100,21700,22900,23600,24400,24700,25200,26200,27200,28100,29100,29700,30500,31300,32600,33900,34900,35800,36600,37400,38400,39700,40900,41700,42600,43000,43900,44900,45600,46600,47600,48800,49800,51200,52300,53500,54500,55700,56700,57900,58400,59300,59700,60800,61700,62700,63800,64800,65500,66300,67200,68400,69000,70000,70700,71500,73100,74200,74700,75300,76000,76500,77400,78500,79500,80100,81100,81500,82900,83800,84700,85700,86600,87400,89100,89900,90600,91100
user1101648354522772155,1500,2200,2700,3600,4000,4600,5000,5600,6400,7000,7900,8500,9000,9400,10300,11400,12500,13100,13800,14600,14800,15800,16200,17000,17700,18600,19400,19900,20500,21300,22000,22300,22800,23600,24500,25200,25600,26100,27500,28300,29100,30200,30800,31400,32000,32400,33300,33900,34600,35500,36000,36700,37900,38700,39300,39700,40700,41600,42500,43400,44000,44900,45700,46300,47500,48100,49000,49400,51100,52300,52600,53300,54300,54600,54900,55700,56500,56900,57700,59000,59300,60900,61800,62300,62900,63500,63900,64600,65300,65800,66700,67900,68500,69300,69600,70500,71500,72000,72900,74000
user1105774576029899388,1700,2200,3100,3700,4500,5500,7300,8000,8700,8900,10100,11200,12200,13300,14500,15000,16100,16700,17200,18200,19000,20200,20900,22200,23000,23500,23900,24400,25000,26000,26500,27200,27900,28800,29700,30100,30800,31700,32300,32800,33400,33900,34700,35500,36100,36800,37600,38300,38800,39100,39800,40600,41100,41600,42200,43400,43800,44500,45300,45700,46300,47000,48000,49000,49700,50900,52200,53100,53900,54800,55800,56600,57300,58600,59300,60200,61100,61600,62600,63900,64700,65700,66400,67600,68500,69600,70200,70800,71800,72800,73500,74000,74300,75400,75800,76700,77300,78100,78700,79000
