Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
1,extend,10000,TRUE,uniform,EXTEND,59.1,515.789,0,0,0,0,1,82899,6031.435844,500000,163.677482,117,42591,225,456,500000
1,run,10000,TRUE,uniform,READ,59.8,534.773,0.5,0.5,0,0,0,10325,9685.230024,50288,92.36732421,54,31039,157,367,50288
1,run,10000,TRUE,uniform,UPDATE,59.8,534.773,0.5,0.5,0,0,0,10325,9685.230024,49712,104.053991,58,5511,185,362,49712
1,reference,10000,TRUE,uniform,READ,60.4,588.152,0.5,0.5,0,0,0,9962,10038.14495,49986,89.48569599,54,37215,148,361,49986
1,reference,10000,TRUE,uniform,UPDATE,60.4,588.152,0.5,0.5,0,0,0,9962,10038.14495,50014,99.81737114,58,17103,173,374,50014
1,clean-run,10000,TRUE,uniform,READ,61.1,864.906,0.5,0.5,0,0,0,10325,9685.230024,49788,92.96438901,54,37471,156,382,49788
1,clean-run,10000,TRUE,uniform,UPDATE,61.1,864.906,0.5,0.5,0,0,0,10325,9685.230024,50212,103.1682466,57,8431,181,381,50212
1,avg-run,10000,TRUE,uniform,READ,60.7,1013.48,0.5,0.5,0,0,0,9873,10128.63365,49993,90.52373332,53,8671,152,386,49993
1,avg-run,10000,TRUE,uniform,UPDATE,60.7,1013.48,0.5,0.5,0,0,0,9873,10128.63365,50007,96.77059212,56,40991,168,385,50007
2,extend,10000,TRUE,uniform,EXTEND,68,1130.86,0,0,0,0,1,93200,5364.806867,500000,184.290844,125,37759,259,492,500000
2,run,10000,TRUE,uniform,READ,67.8,1177.75,0.5,0.5,0,0,0,11416,8759.635599,50219,99.99860611,57,9039,176,409,50219
2,run,10000,TRUE,uniform,UPDATE,67.8,1177.75,0.5,0.5,0,0,0,11416,8759.635599,49781,118.2759085,64,28351,214,399,49781
2,reference,10000,TRUE,uniform,READ,68,1176.64,0.5,0.5,0,0,0,10772,9283.327144,50318,93.9869033,56,7735,156,362,50318
2,reference,10000,TRUE,uniform,UPDATE,68,1176.64,0.5,0.5,0,0,0,10772,9283.327144,49682,110.7287549,62,30575,189,374,49682
2,clean-run,10000,TRUE,uniform,READ,68,1211.77,0.5,0.5,0,0,0,11523,8678.295583,50371,103.4000119,60,30783,171,439,50371
2,clean-run,10000,TRUE,uniform,UPDATE,68,1211.77,0.5,0.5,0,0,0,11523,8678.295583,49629,117.5647101,63,7563,208,411,49629
2,avg-run,10000,TRUE,uniform,READ,67.7,1325.64,0.5,0.5,0,0,0,11470,8718.395815,50032,101.6573193,54,13863,167,452,50032
2,avg-run,10000,TRUE,uniform,UPDATE,67.7,1325.64,0.5,0.5,0,0,0,11470,8718.395815,49968,117.3277698,56,87871,199,452,49968
3,extend,10000,TRUE,uniform,EXTEND,71.8,1360.37,0,0,0,0,1,106878,4678.231254,500000,211.452258,132,63167,311,645,500000
3,run,10000,TRUE,uniform,READ,71.8,1378.07,0.5,0.5,0,0,0,13621,7341.604875,50074,115.0404401,63,8583,225,476,50074
3,run,10000,TRUE,uniform,UPDATE,71.8,1378.07,0.5,0.5,0,0,0,13621,7341.604875,49926,146.7982013,67,111743,261,468,49926
3,reference,10000,TRUE,uniform,READ,71.8,1505.07,0.5,0.5,0,0,0,12127,8246.062505,49916,106.7645244,57,35967,192,458,49916
3,reference,10000,TRUE,uniform,UPDATE,71.8,1505.07,0.5,0.5,0,0,0,12127,8246.062505,50084,125.2446091,65,5507,222,438,50084
3,clean-run,10000,TRUE,uniform,READ,71.8,1522.45,0.5,0.5,0,0,0,12936,7730.364873,50046,113.3156296,63,9295,211,473,50046
3,clean-run,10000,TRUE,uniform,UPDATE,71.8,1522.45,0.5,0.5,0,0,0,12936,7730.364873,49954,134.6802859,64,33471,237,464,49954
3,avg-run,10000,TRUE,uniform,READ,71.4,1705.91,0.5,0.5,0,0,0,12235,8173.273396,49815,111.3593094,58,8187,205,491,49815
3,avg-run,10000,TRUE,uniform,UPDATE,71.4,1705.91,0.5,0.5,0,0,0,12235,8173.273396,50185,121.8492378,56,33791,238,499,50185
4,extend,10000,TRUE,uniform,EXTEND,73.6,1826.95,0,0,0,0,1,127468,3922.553111,500000,252.572172,135,272383,357,737,500000
4,run,10000,TRUE,uniform,READ,73.6,1847.46,0.5,0.5,0,0,0,15601,6409.845523,50081,128.6071963,66,7679,300,549,50081
4,run,10000,TRUE,uniform,UPDATE,73.6,1847.46,0.5,0.5,0,0,0,15601,6409.845523,49919,172.5985897,74,130047,317,546,49919
4,reference,10000,TRUE,uniform,READ,73.7,1894.86,0.5,0.5,0,0,0,14329,6978.854072,50031,122.7844936,61,8927,259,539,50031
4,reference,10000,TRUE,uniform,UPDATE,73.7,1894.86,0.5,0.5,0,0,0,14329,6978.854072,49969,152.9088235,72,37311,295,527,49969
4,clean-run,10000,TRUE,uniform,READ,73.6,1931.43,0.5,0.5,0,0,0,16174,6182.762458,49946,136.4466824,68,50591,314,556,49946
4,clean-run,10000,TRUE,uniform,UPDATE,73.6,1931.43,0.5,0.5,0,0,0,16174,6182.762458,50054,175.0631318,74,64319,343,561,50054
4,avg-run,10000,TRUE,uniform,READ,73.1,2115.25,0.5,0.5,0,0,0,14335,6975.933031,49928,118.7975485,58,31487,218,502,49928
4,avg-run,10000,TRUE,uniform,UPDATE,73.1,2115.25,0.5,0.5,0,0,0,14335,6975.933031,50072,157.1828966,54,135295,255,526,50072
5,extend,10000,TRUE,uniform,EXTEND,75.2,2129.96,0,0,0,0,1,161324,3099.352855,500000,320.12054,145,827391,398,763,500000
5,run,10000,TRUE,uniform,READ,74.9,2220.48,0.5,0.5,0,0,0,18619,5370.857726,50048,136.3874081,74,8575,283,501,50048
5,run,10000,TRUE,uniform,UPDATE,74.9,2220.48,0.5,0.5,0,0,0,18619,5370.857726,49952,224.216668,83,184191,326,535,49952
5,reference,10000,TRUE,uniform,READ,74.6,2339.91,0.5,0.5,0,0,0,21060,4748.338082,49889,185.3105093,64,53887,476,865,49889
5,reference,10000,TRUE,uniform,UPDATE,74.6,2339.91,0.5,0.5,0,0,0,21060,4748.338082,50111,223.8421504,77,40063,483,968,50111
5,clean-run,10000,TRUE,uniform,READ,74.6,2251.39,0.5,0.5,0,0,0,19021,5257.347143,50090,160.8310441,76,33023,406,622,50090
5,clean-run,10000,TRUE,uniform,UPDATE,74.6,2251.39,0.5,0.5,0,0,0,19021,5257.347143,49910,207.6208375,79,98879,429,640,49910
