"","Epoch","Phase","Recordcount","Readallfields","Requestdist","Operation","btree_height","adaptive_hash_hash_searches","adaptive_hash_non_hash_searches","background_log_sync","buffer_pool_dump_status","buffer_pool_load_status","buffer_pool_resize_status","buffer_pool_load_incomplete","buffer_pool_pages_data","buffer_pool_bytes_data","buffer_pool_pages_dirty","buffer_pool_bytes_dirty","buffer_pool_pages_flushed","buffer_pool_pages_free","buffer_pool_pages_made_not_young","buffer_pool_pages_made_young","buffer_pool_pages_misc","buffer_pool_pages_old","buffer_pool_pages_total","buffer_pool_pages_lru_flushed","buffer_pool_pages_lru_freed","buffer_pool_pages_split","buffer_pool_read_ahead_rnd","buffer_pool_read_ahead","buffer_pool_read_ahead_evicted","buffer_pool_read_requests","buffer_pool_reads","buffer_pool_wait_free","buffer_pool_write_requests","checkpoint_age","checkpoint_max_age","data_fsyncs","data_pending_fsyncs","data_pending_reads","data_pending_writes","data_read","data_reads","data_writes","data_written","dblwr_pages_written","dblwr_writes","deadlocks","history_list_length","ibuf_discarded_delete_marks","ibuf_discarded_deletes","ibuf_discarded_inserts","ibuf_free_list","ibuf_merged_delete_marks","ibuf_merged_deletes","ibuf_merged_inserts","ibuf_merges","ibuf_segment_size","ibuf_size","log_waits","log_write_requests","log_writes","lsn_current","lsn_flushed","lsn_last_checkpoint","master_thread_active_loops","master_thread_idle_loops","max_trx_id","mem_adaptive_hash","mem_dictionary","os_log_written","page_size","pages_created","pages_read","pages_written","row_lock_current_waits","row_lock_time","row_lock_time_avg","row_lock_time_max","row_lock_waits","num_open_files","truncated_status_writes","available_undo_logs","undo_truncations","page_compression_saved","num_pages_page_compressed","num_page_compressed_trim_op","num_pages_page_decompressed","num_pages_page_compression_error","num_pages_encrypted","num_pages_decrypted","have_lz4","have_lzo","have_lzma","have_bzip2","have_snappy","have_punch_hole","defragment_compression_failures","defragment_failures","defragment_count","instant_alter_column","onlineddl_rowlog_rows","onlineddl_rowlog_pct_used","onlineddl_pct_progress","encryption_rotation_pages_read_from_cache","encryption_rotation_pages_read_from_disk","encryption_rotation_pages_modified","encryption_rotation_pages_flushed","encryption_rotation_estimated_iops","encryption_n_merge_blocks_encrypted","encryption_n_merge_blocks_decrypted","encryption_n_rowlog_blocks_encrypted","encryption_n_rowlog_blocks_decrypted","encryption_n_temp_blocks_encrypted","encryption_n_temp_blocks_decrypted","encryption_num_key_requests","Readprop","Updateprop","Scanprop","Insertprop","Extendprop","Runtime.ms.","Throughput.ops.sec.","Operations","AverageLatency.us.","MinLatency.us.","MaxLatency.us.","X95thPercentileLatency.us.","X99thPercentileLatency.us.","Return.OK","X"
"1",1,"extend",10000,"true","uniform","EXTEND",2,0,0,1323056,NA,"Buffer",NA,"OFF",7910,129597440,4099,67158016,34725861,251674,152,210611,0,2899,259584,3614,15578487,1537806,0,0,1,4144051155,1622,0,447130879,56939555,80819529,24234137,0,0,0,26574848,1631,34792329,646152306688,4712313,66468,0,581,0,0,0,0,0,0,0,0,2,1,0,176199228,23487042,4352916649346,4352916649346,4352859709791,1082,1321983,255144126,0,26583824,454213139010,16384,34346460,1622,34725861,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,"ON","ON","ON","ON","ON","ON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,700514,713.761609332576,500000,1397.650056,306,72959,2089,2239,500000,NA
"2",1,"run",10000,"true","uniform","READ",2,0,0,1323123,NA,"Buffer",NA,"OFF",8095,132628480,4279,70107136,34750634,251489,152,261953,0,2968,259584,3614,15578487,1538066,0,0,1,4145064453,1622,0,447523602,46699574,80819529,24284653,0,0,0,26574848,1631,34817303,646957268992,4736671,66669,0,508,0,0,0,0,0,0,0,0,2,1,0,176447271,23537040,4353283988541,4353283988541,4353237288967,1082,1322050,255243984,0,26583824,454580478205,16384,34353481,1622,34750634,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,"ON","ON","ON","ON","ON","ON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,65814,1519.43355517063,50071,222.202672205468,29,7411,501,576,50071,NA
"3",1,"run",10000,"true","uniform","UPDATE",2,0,0,1323123,NA,"Buffer",NA,"OFF",8095,132628480,4279,70107136,34750634,251489,152,261953,0,2968,259584,3614,15578487,1538066,0,0,1,4145064453,1622,0,447523602,46699574,80819529,24284653,0,0,0,26574848,1631,34817303,646957268992,4736671,66669,0,508,0,0,0,0,0,0,0,0,2,1,0,176447271,23537040,4353283988541,4353283988541,4353237288967,1082,1322050,255243984,0,26583824,454580478205,16384,34353481,1622,34750634,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,"ON","ON","ON","ON","ON","ON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,65814,1519.43355517063,49929,1085.1350918304,287,37215,1622,1779,49929,NA
"4",1,"reference",10000,"true","uniform","READ",2,0,0,1323189,NA,"Buffer",NA,"OFF",9684,158662656,2972,48693248,34772939,249900,152,265649,0,3554,259584,3614,15578487,1540656,0,0,1,4146033574,1622,0,447931671,37929348,80819529,24335461,0,0,0,26574848,1631,34839801,647650951168,4756705,66862,0,139,0,0,0,0,0,0,0,0,2,1,0,176697074,23587276,4353642153740,4353642153740,4353604224392,1082,1322116,255344326,0,26583824,454938643404,16384,34362574,1622,34772939,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,"ON","ON","ON","ON","ON","ON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,64640,1547.0297029703,49829,221.851191073471,26,4001,496,570,49829,NA
"5",1,"reference",10000,"true","uniform","UPDATE",2,0,0,1323189,NA,"Buffer",NA,"OFF",9684,158662656,2972,48693248,34772939,249900,152,265649,0,3554,259584,3614,15578487,1540656,0,0,1,4146033574,1622,0,447931671,37929348,80819529,24335461,0,0,0,26574848,1631,34839801,647650951168,4756705,66862,0,139,0,0,0,0,0,0,0,0,2,1,0,176697074,23587276,4353642153740,4353642153740,4353604224392,1082,1322116,255344326,0,26583824,454938643404,16384,34362574,1622,34772939,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,"ON","ON","ON","ON","ON","ON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,64640,1547.0297029703,50171,1057.67391520998,284,64415,1623,1788,50171,NA
"6",1,"clean-run",10000,"true","uniform","READ",2,0,0,1323256,NA,"Buffer",NA,"OFF",14935,244695040,4087,66961408,34801562,244649,152,271671,0,5509,259584,3614,15578487,1545589,0,0,1,4147080723,1622,0,448370895,44792827,80819529,24386243,0,0,0,26574848,1631,34868625,648501215232,4779978,67063,0,266,0,0,0,0,0,0,0,0,2,1,0,176974553,23637337,4354059806108,4354059806108,4354015013281,1083,1322182,255444310,0,26583824,455356295772,16384,34374198,1622,34801562,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,"ON","ON","ON","ON","ON","ON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,64037,1561.59720161781,50077,223.066817101663,28,7299,500,577,50077,NA
"7",1,"clean-run",10000,"true","uniform","UPDATE",2,0,0,1323256,NA,"Buffer",NA,"OFF",14935,244695040,4087,66961408,34801562,244649,152,271671,0,5509,259584,3614,15578487,1545589,0,0,1,4147080723,1622,0,448370895,44792827,80819529,24386243,0,0,0,26574848,1631,34868625,648501215232,4779978,67063,0,266,0,0,0,0,0,0,0,0,2,1,0,176974553,23637337,4354059806108,4354059806108,4354015013281,1083,1322182,255444310,0,26583824,455356295772,16384,34374198,1622,34801562,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,"ON","ON","ON","ON","ON","ON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,64037,1561.59720161781,49923,1049.48839212387,285,51871,1609,1779,49923,NA
"8",1,"avg-run",10000,"true","uniform","READ",2,0,0,1323330,NA,"Buffer",NA,"OFF",16475,269926400,3480,57016320,34834187,243109,152,271674,0,6061,259584,3614,15578487,1553426,0,0,1,4148297544,1622,0,448881585,19280627,80819529,24447375,0,0,0,26574848,1631,34901509,649464479744,4806146,67322,0,341,0,0,0,0,0,0,0,0,2,1,0,177273255,23697591,4354418900993,4354418900993,4354399620366,1083,1322256,255564668,0,26583824,455715390657,16384,34388399,1622,34834187,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,"ON","ON","ON","ON","ON","ON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,61758,1619.22342044755,49827,219.51598530917,28,5759,498,572,49827,NA
"9",1,"avg-run",10000,"true","uniform","UPDATE",2,0,0,1323330,NA,"Buffer",NA,"OFF",16475,269926400,3480,57016320,34834187,243109,152,271674,0,6061,259584,3614,15578487,1553426,0,0,1,4148297544,1622,0,448881585,19280627,80819529,24447375,0,0,0,26574848,1631,34901509,649464479744,4806146,67322,0,341,0,0,0,0,0,0,0,0,2,1,0,177273255,23697591,4354418900993,4354418900993,4354399620366,1083,1322256,255564668,0,26583824,455715390657,16384,34388399,1622,34834187,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,"ON","ON","ON","ON","ON","ON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,61758,1619.22342044755,50173,1003.17708727802,273,41823,1578,1763,50173,NA
"10",2,"extend",10000,"true","uniform","EXTEND",2,0,0,1323931,NA,"Buffer",NA,"OFF",42854,702119936,5352,87687168,35231076,216730,152,386172,0,15799,259584,3614,15578487,1553442,0,0,1,4162719832,1622,0,453341668,59572294,80819529,24955168,0,0,0,26574848,1631,35301134,661174190080,5123967,70058,0,359,0,0,0,0,0,0,0,0,2,1,0,179889012,24198224,4360032617182,4360032617182,4359973044888,1083,1322857,256564668,0,26583824,461329106846,16384,34479594,1622,35231076,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,"ON","ON","ON","ON","ON","ON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,600920,832.057511815217,500000,1198.42195,358,69247,2044,2275,500000,NA
"11",2,"run",10000,"true","uniform","READ",2,0,0,1323988,NA,"Buffer",NA,"OFF",45686,748519424,5547,90882048,35276845,213898,152,478474,0,16858,259584,3614,15578487,1553442,0,0,1,4164575395,1622,0,453865848,53595116,80819529,25005809,0,0,0,26574848,1631,35347161,662407299072,5153461,70316,0,777,0,0,0,0,0,0,0,0,2,1,0,180166367,24248193,4360524936728,4360524936728,4360471341612,1083,1322914,256664482,0,26583824,461821426392,16384,34488218,1622,35276845,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,"ON","ON","ON","ON","ON","ON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,53431,1871.57268252513,50093,203.477212384964,32,8027,491,570,50093,NA
"12",2,"run",10000,"true","uniform","UPDATE",2,0,0,1323988,NA,"Buffer",NA,"OFF",45686,748519424,5547,90882048,35276845,213898,152,478474,0,16858,259584,3614,15578487,1553442,0,0,1,4164575395,1622,0,453865848,53595116,80819529,25005809,0,0,0,26574848,1631,35347161,662407299072,5153461,70316,0,777,0,0,0,0,0,0,0,0,2,1,0,180166367,24248193,4360524936728,4360524936728,4360471341612,1083,1322914,256664482,0,26583824,461821426392,16384,34488218,1622,35276845,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,"ON","ON","ON","ON","ON","ON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,53431,1871.57268252513,49907,856.877231650871,305,75775,1493,1817,49907,NA
"13",2,"reference",10000,"true","uniform","READ",2,0,0,1324050,NA,"Buffer",NA,"OFF",49961,818561024,2432,39845888,35313087,209623,152,481999,0,18422,259584,3614,15578487,1557348,0,0,1,4165645930,1622,0,454286625,26540503,80819529,25056697,0,0,0,26574848,1631,35383661,663481335808,5182773,70574,0,565,0,0,0,0,0,0,0,0,2,1,0,180418103,24298382,4361033006686,4361033006686,4361006466183,1083,1322976,256764732,0,26583824,462329496350,16384,34499438,1622,35313087,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,"ON","ON","ON","ON","ON","ON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,58040,1722.94968986906,49875,220.250345864662,27,8175,496,572,49875,NA
"14",2,"reference",10000,"true","uniform","UPDATE",2,0,0,1324050,NA,"Buffer",NA,"OFF",49961,818561024,2432,39845888,35313087,209623,152,481999,0,18422,259584,3614,15578487,1557348,0,0,1,4165645930,1622,0,454286625,26540503,80819529,25056697,0,0,0,26574848,1631,35383661,663481335808,5182773,70574,0,565,0,0,0,0,0,0,0,0,2,1,0,180418103,24298382,4361033006686,4361033006686,4361006466183,1083,1322976,256764732,0,26583824,462329496350,16384,34499438,1622,35313087,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,"ON","ON","ON","ON","ON","ON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,58040,1722.94968986906,50125,928.842114713217,298,32127,1595,1859,50125,NA
"15",2,"clean-run",10000,"true","uniform","READ",2,0,0,1324116,NA,"Buffer",NA,"OFF",86482,1416921088,4080,66846720,35390685,173102,152,502265,0,31913,259584,3614,15578487,1562316,0,0,1,4167904748,1622,0,454994604,33152046,80819529,25108235,0,0,0,26574848,1631,35461517,665206734848,5210487,70832,0,79,0,0,0,0,0,0,0,0,2,1,0,180759537,24348801,4361642095573,4361642095573,4361608943527,1084,1323041,256865412,0,26583824,462938585237,16384,34542213,1622,35390685,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,"ON","ON","ON","ON","ON","ON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,56373,1773.89885228744,49782,221.357438431562,32,4743,499,578,49782,NA
"16",2,"clean-run",10000,"true","uniform","UPDATE",2,0,0,1324116,NA,"Buffer",NA,"OFF",86482,1416921088,4080,66846720,35390685,173102,152,502265,0,31913,259584,3614,15578487,1562316,0,0,1,4167904748,1622,0,454994604,33152046,80819529,25108235,0,0,0,26574848,1631,35461517,665206734848,5210487,70832,0,79,0,0,0,0,0,0,0,0,2,1,0,180759537,24348801,4361642095573,4361642095573,4361608943527,1084,1323041,256865412,0,26583824,462938585237,16384,34542213,1622,35390685,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,"ON","ON","ON","ON","ON","ON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,56373,1773.89885228744,50218,893.543092118364,298,392959,1523,2141,50218,NA
