Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,btree_height,adaptive_hash_hash_searches,adaptive_hash_non_hash_searches,background_log_sync,buffer_pool_dump_status,buffer_pool_load_status,buffer_pool_resize_status,buffer_pool_load_incomplete,buffer_pool_pages_data,buffer_pool_bytes_data,buffer_pool_pages_dirty,buffer_pool_bytes_dirty,buffer_pool_pages_flushed,buffer_pool_pages_free,buffer_pool_pages_made_not_young,buffer_pool_pages_made_young,buffer_pool_pages_misc,buffer_pool_pages_old,buffer_pool_pages_total,buffer_pool_pages_lru_flushed,buffer_pool_pages_lru_freed,buffer_pool_pages_split,buffer_pool_read_ahead_rnd,buffer_pool_read_ahead,buffer_pool_read_ahead_evicted,buffer_pool_read_requests,buffer_pool_reads,buffer_pool_wait_free,buffer_pool_write_requests,checkpoint_age,checkpoint_max_age,data_fsyncs,data_pending_fsyncs,data_pending_reads,data_pending_writes,data_read,data_reads,data_writes,data_written,dblwr_pages_written,dblwr_writes,deadlocks,history_list_length,ibuf_discarded_delete_marks,ibuf_discarded_deletes,ibuf_discarded_inserts,ibuf_free_list,ibuf_merged_delete_marks,ibuf_merged_deletes,ibuf_merged_inserts,ibuf_merges,ibuf_segment_size,ibuf_size,log_waits,log_write_requests,log_writes,lsn_current,lsn_flushed,lsn_last_checkpoint,master_thread_active_loops,master_thread_idle_loops,max_trx_id,mem_adaptive_hash,mem_dictionary,os_log_written,page_size,pages_created,pages_read,pages_written,row_lock_current_waits,row_lock_time,row_lock_time_avg,row_lock_time_max,row_lock_waits,num_open_files,truncated_status_writes,available_undo_logs,undo_truncations,page_compression_saved,num_pages_page_compressed,num_page_compressed_trim_op,num_pages_page_decompressed,num_pages_page_compression_error,num_pages_encrypted,num_pages_decrypted,have_lz4,have_lzo,have_lzma,have_bzip2,have_snappy,have_punch_hole,defragment_compression_failures,defragment_failures,defragment_count,instant_alter_column,onlineddl_rowlog_rows,onlineddl_rowlog_pct_used,onlineddl_pct_progress,encryption_rotation_pages_read_from_cache,encryption_rotation_pages_read_from_disk,encryption_rotation_pages_modified,encryption_rotation_pages_flushed,encryption_rotation_estimated_iops,encryption_n_merge_blocks_encrypted,encryption_n_merge_blocks_decrypted,encryption_n_rowlog_blocks_encrypted,encryption_n_rowlog_blocks_decrypted,encryption_n_temp_blocks_encrypted,encryption_n_temp_blocks_decrypted,encryption_num_key_requests,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
1,extend,10000,TRUE,zipfian,EXTEND,2,0,0,172764,,Buffer,,OFF,230158,3770908672,2069,33898496,70917726,29426,15524743,25003448,0,84940,259584,37451,28119784,1084028,0,0,0,2610066351,11898472,0,795020525,28953483,80819529,47115067,0,0,0,1.94945E+11,11898485,71136676,1.49852E+12,20544966,218950,0,686,0,0,0,0,0,0,0,0,1.10381E+12,2.78726E+14,0,317754319,46255759,5.8212E+12,5.8212E+12,5.82117E+12,84,172683,426546419,0,26583096,6.36657E+11,16384,30291439,11898472,70917726,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,ON,ON,ON,ON,ON,ON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,810715,616.7395447,500000,1617.45564,311,22399,2701,5327,500000
1,run,10000,TRUE,uniform,READ,2,0,0,172839,,Buffer,,OFF,229535,3760701440,2786,45645824,70948107,30049,15524743,25003448,0,84749,259584,37451,28119784,1084790,0,0,0,2611107250,11898472,0,795431740,25610053,80819529,47165755,0,0,0,1.94945E+11,11898485,71167319,1.49948E+12,20573613,219212,0,415,0,0,0,0,0,0,0,0,1.10381E+12,2.78726E+14,0,318005016,46305750,5.82157E+12,5.82157E+12,5.82154E+12,84,172758,426646247,0,26583096,6.3703E+11,16384,30300598,11898472,70948107,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,ON,ON,ON,ON,ON,ON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,73717,1356.539197,50086,258.6583876,28,7955,519,598,50086
1,run,10000,TRUE,uniform,UPDATE,2,0,0,172839,,Buffer,,OFF,229535,3760701440,2786,45645824,70948107,30049,15524743,25003448,0,84749,259584,37451,28119784,1084790,0,0,0,2611107250,11898472,0,795431740,25610053,80819529,47165755,0,0,0,1.94945E+11,11898485,71167319,1.49948E+12,20573613,219212,0,415,0,0,0,0,0,0,0,0,1.10381E+12,2.78726E+14,0,318005016,46305750,5.82157E+12,5.82157E+12,5.82154E+12,84,172758,426646247,0,26583096,6.3703E+11,16384,30300598,11898472,70948107,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,ON,ON,ON,ON,ON,ON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,73717,1356.539197,49914,1207.433966,273,14247,1661,1807,49914
1,reference,10000,TRUE,uniform,READ,2,0,0,172914,,Buffer,,OFF,231134,3786899456,2218,36339712,70976688,28450,15524743,25003448,0,85316,259584,37451,28119784,1087041,0,0,0,2612085149,11898472,0,795843884,22696966,80819529,47216637,0,0,0,1.94945E+11,11898485,71196132,1.50038E+12,20599615,219444,0,653,0,0,0,0,0,0,0,0,1.10381E+12,2.78726E+14,0,318253933,46355930,5.82192E+12,5.82192E+12,5.82189E+12,84,172833,426746453,0,26583096,6.37377E+11,16384,30310781,11898472,70976688,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,ON,ON,ON,ON,ON,ON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,74076,1349.964901,49897,243.0735114,26,1171,508,585,49897
1,reference,10000,TRUE,uniform,UPDATE,2,0,0,172914,,Buffer,,OFF,231134,3786899456,2218,36339712,70976688,28450,15524743,25003448,0,85316,259584,37451,28119784,1087041,0,0,0,2612085149,11898472,0,795843884,22696966,80819529,47216637,0,0,0,1.94945E+11,11898485,71196132,1.50038E+12,20599615,219444,0,653,0,0,0,0,0,0,0,0,1.10381E+12,2.78726E+14,0,318253933,46355930,5.82192E+12,5.82192E+12,5.82189E+12,84,172833,426746453,0,26583096,6.37377E+11,16384,30310781,11898472,70976688,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,ON,ON,ON,ON,ON,ON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,74076,1349.964901,50103,1226.275692,273,20063,1664,1818,50103
1,clean-run,10000,TRUE,uniform,READ,2,0,0,172990,,Buffer,,OFF,237302,3887955968,3810,62423040,71011059,22282,15524744,25003448,0,87577,259584,37451,28119784,1091438,0,0,0,2613197757,11898473,0,796300746,40858601,80819529,47267538,0,0,0,1.94945E+11,11898486,71230747,1.5014E+12,20627294,219688,0,361,0,0,0,0,0,0,0,0,1.10381E+12,2.78726E+14,0,318535416,46406014,5.82235E+12,5.82235E+12,5.8223E+12,85,172908,426846468,0,26583096,6.37806E+11,16384,30324920,11898473,71011059,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,ON,ON,ON,ON,ON,ON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,72390,1381.406272,50062,258.3277336,28,4243,517,594,50062
1,clean-run,10000,TRUE,uniform,UPDATE,2,0,0,172990,,Buffer,,OFF,237302,3887955968,3810,62423040,71011059,22282,15524744,25003448,0,87577,259584,37451,28119784,1091438,0,0,0,2613197757,11898473,0,796300746,40858601,80819529,47267538,0,0,0,1.94945E+11,11898486,71230747,1.5014E+12,20627294,219688,0,361,0,0,0,0,0,0,0,0,1.10381E+12,2.78726E+14,0,318535416,46406014,5.82235E+12,5.82235E+12,5.8223E+12,85,172908,426846468,0,26583096,6.37806E+11,16384,30324920,11898473,71011059,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,ON,ON,ON,ON,ON,ON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,72390,1381.406272,49938,1180.759902,272,15751,1652,1800,49938
1,avg-run,10000,TRUE,uniform,READ,2,0,0,173072,,Buffer,,OFF,238837,3913105408,3233,52969472,71043246,20747,15524744,25003448,0,88144,259584,37451,28119784,1099275,0,0,0,2614415844,11898473,0,796815013,16064677,80819529,47328426,0,0,0,1.94945E+11,11898486,71263186,1.50235E+12,20653049,219940,0,627,0,0,0,0,0,0,0,0,1.10381E+12,2.78726E+14,0,318832767,46466053,5.8227E+12,5.8227E+12,5.82268E+12,85,172990,426966374,0,26583096,6.38159E+11,16384,30340149,11898473,71043246,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,ON,ON,ON,ON,ON,ON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,69239,1444.272736,50052,249.8737713,28,5067,517,592,50052
1,avg-run,10000,TRUE,uniform,UPDATE,2,0,0,173072,,Buffer,,OFF,238837,3913105408,3233,52969472,71043246,20747,15524744,25003448,0,88144,259584,37451,28119784,1099275,0,0,0,2614415844,11898473,0,796815013,16064677,80819529,47328426,0,0,0,1.94945E+11,11898486,71263186,1.50235E+12,20653049,219940,0,627,0,0,0,0,0,0,0,0,1.10381E+12,2.78726E+14,0,318832767,46466053,5.8227E+12,5.8227E+12,5.82268E+12,85,172990,426966374,0,26583096,6.38159E+11,16384,30340149,11898473,71043246,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,ON,ON,ON,ON,ON,ON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,69239,1444.272736,49948,1125.340454,262,15919,1604,1759,49948
2,extend,10000,TRUE,zipfian,EXTEND,2,0,0,173875,,Buffer,,OFF,251380,4118609920,3509,57491456,71621982,8204,15524744,25003448,0,92774,259584,37451,28119784,1101719,0,0,0,2642280401,11898473,0,805283742,55069900,80819529,47838226,0,0,0,1.94945E+11,11898486,71845127,1.51767E+12,21009753,223145,0,585,0,0,0,0,0,0,0,0,1.10381E+12,2.78726E+14,0,322281734,46966942,5.83428E+12,5.83428E+12,5.83422E+12,85,173793,427966374,0,26583096,6.49737E+11,16384,30549064,11898473,71621982,0,0,0,0,0,8,0,128,0,0,0,0,0,0,0,0,ON,ON,ON,ON,ON,ON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,802931,622.718515,500000,1601.978352,335,30015,3837,7895,500000
