Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
1,extend,10000,TRUE,uniform,EXTEND,8,10638.6,0,0,0,0,1,91294,5476.811181,500000,180.364136,126,51231,251,540,500000
1,run,10000,TRUE,uniform,READ,8.1,10637.1,0.5,0.5,0,0,0,11549,8658.758334,50218,99.84989446,59,12111,179,442,50218
1,run,10000,TRUE,uniform,UPDATE,8.1,10637.1,0.5,0.5,0,0,0,11549,8658.758334,49782,115.268571,64,39263,210,448,49782
1,reference,10000,TRUE,uniform,READ,8.1,10643.7,0.5,0.5,0,0,0,10901,9173.470324,49976,97.19939571,57,10519,165,414,49976
1,reference,10000,TRUE,uniform,UPDATE,8.1,10643.7,0.5,0.5,0,0,0,10901,9173.470324,50024,109.5332241,62,33535,188,414,50024
1,clean-run,10000,TRUE,uniform,READ,8.2,10641.3,0.5,0.5,0,0,0,11458,8727.526619,50052,100.8070806,59,10551,181,438,50052
1,clean-run,10000,TRUE,uniform,UPDATE,8.2,10641.3,0.5,0.5,0,0,0,11458,8727.526619,49948,117.2075358,63,38175,211,468,49948
1,avg-run,10000,TRUE,uniform,READ,8.2,10647,0.5,0.5,0,0,0,11031,9065.361255,50088,99.94900974,58,10015,178,491,50088
1,avg-run,10000,TRUE,uniform,UPDATE,8.2,10647,0.5,0.5,0,0,0,11031,9065.361255,49912,109.7702356,59,36959,204,500,49912
2,extend,10000,TRUE,uniform,EXTEND,8.2,10633.2,0,0,0,0,1,101450,4928.536225,500000,200.69502,131,43519,291,657,500000
2,run,10000,TRUE,uniform,READ,8.2,10633.1,0.5,0.5,0,0,0,12505,7996.801279,50167,110.2620448,62,43871,208,456,50167
2,run,10000,TRUE,uniform,UPDATE,8.2,10633.1,0.5,0.5,0,0,0,12505,7996.801279,49833,128.3838822,65,8187,236,450,49833
2,reference,10000,TRUE,uniform,READ,8.3,10635.2,0.5,0.5,0,0,0,12567,7957.348611,49967,111.8775392,59,39743,192,884,49967
2,reference,10000,TRUE,uniform,UPDATE,8.3,10635.2,0.5,0.5,0,0,0,12567,7957.348611,50033,128.280335,65,6879,225,928,50033
2,clean-run,10000,TRUE,uniform,READ,8.3,10641.3,0.5,0.5,0,0,0,12938,7729.169887,50105,115.4627482,64,36543,208,496,50105
2,clean-run,10000,TRUE,uniform,UPDATE,8.3,10641.3,0.5,0.5,0,0,0,12938,7729.169887,49895,132.1869125,66,8279,241,487,49895
