Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
1,extend,10000,TRUE,zipfian,EXTEND,70.3,586.219,0,0,0,0,1,282549,1769.604564,500000,562.395564,119,864767,978,2281,500000
1,run,10000,TRUE,uniform,READ,70,594.504,0.5,0.5,0,0,0,10578,9453.582908,49941,95.49041869,56,33023,162,419,49941
1,run,10000,TRUE,uniform,UPDATE,70,594.504,0.5,0.5,0,0,0,10578,9453.582908,50059,106.0303442,59,6391,192,438,50059
1,reference,10000,TRUE,uniform,READ,70,600.172,0.5,0.5,0,0,0,10250,9756.097561,49940,93.1634161,54,43327,157,404,49940
1,reference,10000,TRUE,uniform,UPDATE,70,600.172,0.5,0.5,0,0,0,10250,9756.097561,50060,101.5746105,59,16247,178,402,50060
1,clean-run,10000,TRUE,uniform,READ,70.1,879.902,0.5,0.5,0,0,0,10791,9266.981744,49752,98.42723911,56,36095,170,468,49752
1,clean-run,10000,TRUE,uniform,UPDATE,70.1,879.902,0.5,0.5,0,0,0,10791,9266.981744,50248,106.9564759,59,11735,194,449,50248
1,avg-run,10000,TRUE,uniform,READ,69.8,1022.41,0.5,0.5,0,0,0,10140,9861.932939,49902,92.16999319,57,8863,159,380,49902
1,avg-run,10000,TRUE,uniform,UPDATE,69.8,1022.41,0.5,0.5,0,0,0,10140,9861.932939,50098,100.4856481,57,39359,180,393,50098
2,extend,10000,TRUE,zipfian,EXTEND,81.6,1153.96,0,0,0,0,1,684028,730.9642295,500000,1365.022956,124,1261567,1986,4903,500000
2,run,10000,TRUE,uniform,READ,81.5,1194,0.5,0.5,0,0,0,12173,8214.901832,49749,106.6874711,59,13751,201,478,49749
2,run,10000,TRUE,uniform,UPDATE,81.5,1194,0.5,0.5,0,0,0,12173,8214.901832,50251,125.6181768,64,36383,242,477,50251
2,reference,10000,TRUE,uniform,READ,81.3,1197.83,0.5,0.5,0,0,0,11199,8929.368694,49815,98.68252534,57,9895,171,419,49815
2,reference,10000,TRUE,uniform,UPDATE,81.3,1197.83,0.5,0.5,0,0,0,11199,8929.368694,50185,114.807831,63,31647,204,435,50185
2,clean-run,10000,TRUE,uniform,READ,81.3,1213.9,0.5,0.5,0,0,0,12217,8185.315544,50186,107.4546089,59,39967,187,455,50186
2,clean-run,10000,TRUE,uniform,UPDATE,81.3,1213.9,0.5,0.5,0,0,0,12217,8185.315544,49814,125.9793432,64,8847,230,463,49814
2,avg-run,10000,TRUE,uniform,READ,80.9,1351.12,0.5,0.5,0,0,0,11692,8552.856654,50156,103.506739,58,7991,192,422,50156
2,avg-run,10000,TRUE,uniform,UPDATE,80.9,1351.12,0.5,0.5,0,0,0,11692,8552.856654,49844,119.9665958,57,112959,220,431,49844
3,extend,10000,TRUE,zipfian,EXTEND,84.6,1515.43,0,0,0,0,1,890686,561.3650602,500000,1778.229068,131,1172479,2791,6151,500000
3,run,10000,TRUE,uniform,READ,84.4,1526.54,0.5,0.5,0,0,0,14009,7138.268256,50162,120.5456322,62,10935,255,530,50162
3,run,10000,TRUE,uniform,UPDATE,84.4,1526.54,0.5,0.5,0,0,0,14009,7138.268256,49838,148.6326097,69,74239,288,525,49838
3,reference,10000,TRUE,uniform,READ,84.3,1529.52,0.5,0.5,0,0,0,12524,7984.669435,49741,110.4390945,59,37183,221,491,49741
3,reference,10000,TRUE,uniform,UPDATE,84.3,1529.52,0.5,0.5,0,0,0,12524,7984.669435,50259,129.2193239,66,23423,246,478,50259
3,clean-run,10000,TRUE,uniform,READ,84.3,1533.14,0.5,0.5,0,0,0,13914,7187.005893,49760,122.1770096,63,38143,259,507,49760
3,clean-run,10000,TRUE,uniform,UPDATE,84.3,1533.14,0.5,0.5,0,0,0,13914,7187.005893,50240,144.3636346,69,42751,273,512,50240
3,avg-run,10000,TRUE,uniform,READ,84.1,1703.79,0.5,0.5,0,0,0,12372,8082.76754,49934,112.6458325,61,32159,206,498,49934
3,avg-run,10000,TRUE,uniform,UPDATE,84.1,1703.79,0.5,0.5,0,0,0,12372,8082.76754,50066,123.6470259,58,7515,242,510,50066
4,extend,10000,TRUE,zipfian,EXTEND,83.7,1826,0,0,0,0,1,945392,528.8811414,500000,1887.610866,140,1702911,3245,7455,500000
4,run,10000,TRUE,uniform,READ,83.6,1869.21,0.5,0.5,0,0,0,15601,6409.845523,49845,136.9133313,66,10175,351,587,49845
4,run,10000,TRUE,uniform,UPDATE,83.6,1869.21,0.5,0.5,0,0,0,15601,6409.845523,50155,163.609371,73,38111,352,586,50155
4,reference,10000,TRUE,uniform,READ,83.6,1891.31,0.5,0.5,0,0,0,14428,6930.967563,50131,121.3864874,62,38175,261,520,50131
4,reference,10000,TRUE,uniform,UPDATE,83.6,1891.31,0.5,0.5,0,0,0,14428,6930.967563,49869,156.0555856,73,82559,291,535,49869
4,clean-run,10000,TRUE,uniform,READ,83.5,1927.62,0.5,0.5,0,0,0,16115,6205.398697,50105,136.5648338,67,39391,311,538,50105
4,clean-run,10000,TRUE,uniform,UPDATE,83.5,1927.62,0.5,0.5,0,0,0,16115,6205.398697,49895,174.0733941,75,67583,320,540,49895
4,avg-run,10000,TRUE,uniform,READ,83.4,2092.26,0.5,0.5,0,0,0,14465,6913.238852,49655,125.3240761,62,39039,261,537,49655
4,avg-run,10000,TRUE,uniform,UPDATE,83.4,2092.26,0.5,0.5,0,0,0,14465,6913.238852,50345,151.4158308,60,129151,288,536,50345
5,extend,10000,TRUE,zipfian,EXTEND,83,2133.88,0,0,0,0,1,1166452,428.6503002,500000,2329.49933,151,1325055,3935,14159,500000
5,run,10000,TRUE,uniform,READ,82.9,2185.42,0.5,0.5,0,0,0,18249,5479.752315,50077,157.2812069,68,36799,389,603,50077
5,run,10000,TRUE,uniform,UPDATE,82.9,2185.42,0.5,0.5,0,0,0,18249,5479.752315,49923,195.7736715,83,12919,407,642,49923
5,reference,10000,TRUE,uniform,READ,82.8,2292.45,0.5,0.5,0,0,0,22829,4380.393359,49942,203.0314765,65,23375,559,1335,49942
5,reference,10000,TRUE,uniform,UPDATE,82.8,2292.45,0.5,0.5,0,0,0,22829,4380.393359,50058,241.1346238,79,39263,600,1410,50058
5,clean-run,10000,TRUE,uniform,READ,82.8,2330.11,0.5,0.5,0,0,0,19130,5227.391532,50020,149.582567,72,35263,327,566,50020
5,clean-run,10000,TRUE,uniform,UPDATE,82.8,2330.11,0.5,0.5,0,0,0,19130,5227.391532,49980,221.4032413,82,303359,364,597,49980
5,avg-run,10000,TRUE,uniform,READ,82.7,2534.22,0.5,0.5,0,0,0,17066,5859.603891,50024,128.1674596,63,31807,257,485,50024
5,avg-run,10000,TRUE,uniform,UPDATE,82.7,2534.22,0.5,0.5,0,0,0,17066,5859.603891,49976,201.4544181,59,336895,285,502,49976
6,extend,10000,TRUE,zipfian,EXTEND,82.9,2604.37,0,0,0,0,1,1429284,349.825507,500000,2855.238668,162,1268735,4827,19311,500000
6,run,10000,TRUE,uniform,READ,82.8,2681.27,0.5,0.5,0,0,0,21169,4723.888705,50250,182.7281194,75,13311,460,635,50250
6,run,10000,TRUE,uniform,UPDATE,82.8,2681.27,0.5,0.5,0,0,0,21169,4723.888705,49750,228.3803618,86,37951,485,679,49750
6,reference,10000,TRUE,uniform,READ,82.7,2760.06,0.5,0.5,0,0,0,26816,3729.116945,50070,240.5837028,69,39391,590,1376,50070
6,reference,10000,TRUE,uniform,UPDATE,82.7,2760.06,0.5,0.5,0,0,0,26816,3729.116945,49930,283.0669738,81,34335,630,1427,49930
6,clean-run,10000,TRUE,uniform,READ,82.7,2790.55,0.5,0.5,0,0,0,28603,3496.136769,50237,159.0998069,78,44351,313,582,50237
6,clean-run,10000,TRUE,uniform,UPDATE,82.7,2790.55,0.5,0.5,0,0,0,28603,3496.136769,49763,401.4895404,92,894463,367,620,49763
6,avg-run,10000,TRUE,uniform,READ,82.7,2858.68,0.5,0.5,0,0,0,17420,5740.528129,50449,156.8547048,65,9695,407,605,50449
6,avg-run,10000,TRUE,uniform,UPDATE,82.7,2858.68,0.5,0.5,0,0,0,17420,5740.528129,49551,179.3048576,62,37471,420,634,49551
7,extend,10000,TRUE,zipfian,EXTEND,82.9,2901.4,0,0,0,0,1,1555876,321.3623708,500000,3108.353544,173,1377279,5203,24079,500000
7,run,10000,TRUE,uniform,READ,82.8,2977.83,0.5,0.5,0,0,0,26414,3785.871129,50204,192.4318182,79,51775,435,638,50204
7,run,10000,TRUE,uniform,UPDATE,82.8,2977.83,0.5,0.5,0,0,0,26414,3785.871129,49796,322.9975299,94,948735,488,705,49796
7,reference,10000,TRUE,uniform,READ,82.8,3098.22,0.5,0.5,0,0,0,29388,3402.749422,50078,259.8665881,76,69695,562,1368,50078
7,reference,10000,TRUE,uniform,UPDATE,82.8,3098.22,0.5,0.5,0,0,0,29388,3402.749422,49922,315.1739514,91,63519,608,1487,49922
