"","Epoch","Phase","Recordcount","Readallfields","Requestdist","Operation","SSTsize","LOGsize","CPU","Memory","sst_files","total_sst_size","lsm_levels","pending_compactions","lsm_memory_usage","Readprop","Updateprop","Scanprop","Insertprop","Extendprop","Runtime.ms.","Throughput.ops.sec.","Operations","AverageLatency.us.","MinLatency.us.","MaxLatency.us.","X95thPercentileLatency.us.","X99thPercentileLatency.us.","Return.OK","X"
"1",1,"extend",10000,"true","uniform","EXTEND",195716,325760,11.2,20,NA,NA,NA,NA,NA,0,0,0,0,1,1971041,253.67305905864,500000,3937.781626,914,36735,4627,4871,500000,NA
"2",1,"run",10000,"true","uniform","READ",85444,642844,11.2,19.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,192699,518.944052641685,49835,275.672117989365,34,5643,560,642,49835,NA
"3",1,"run",10000,"true","uniform","UPDATE",85444,642844,11.2,19.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,192699,518.944052641685,50165,3555.28107246088,918,35871,4135,4371,50165,NA
"4",1,"reference",10000,"true","uniform","READ",153692,769560,11.2,20,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,194209,514.909195763327,49996,293.330106408513,33,9519,560,635,49996,NA
"5",1,"reference",10000,"true","uniform","UPDATE",153692,769560,11.2,20,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,194209,514.909195763327,50004,3577.79153667707,934,36831,4099,4339,50004,NA
"6",1,"clean-run",10000,"true","uniform","READ",180768,1150480,11.2,20,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,197863,505.40020114928,49916,313.909107300264,35,6147,580,665,49916,NA
"7",1,"clean-run",10000,"true","uniform","UPDATE",180768,1150480,11.2,20,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,197863,505.40020114928,50084,3624.82956632857,1003,119807,4195,4439,50084,NA
"8",1,"avg-run",10000,"true","uniform","READ",163476,1467280,11.2,20,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,194920,513.030987071619,50278,306.587155415888,33,5099,571,653,50278,NA
"9",1,"avg-run",10000,"true","uniform","UPDATE",163476,1467280,11.2,20,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,194920,513.030987071619,49722,3597.80763042516,908,32767,4183,4407,49722,NA
"10",2,"extend",10000,"true","uniform","EXTEND",257420,1594544,11.2,20.1,NA,NA,NA,NA,NA,0,0,0,0,1,1990663,251.172599279737,500000,3977.19088,978,44383,4731,4971,500000,NA
"11",2,"run",10000,"true","uniform","READ",308020,2165428,11.2,20.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,195498,511.51418428833,49775,300.366850828729,36,8663,577,658,49775,NA
"12",2,"run",10000,"true","uniform","UPDATE",308020,2165428,11.2,20.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,195498,511.51418428833,50225,3582.25178695869,970,40895,4235,4471,50225,NA
"13",2,"reference",10000,"true","uniform","READ",310492,2419064,11.2,20.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,196595,508.659935400188,49923,292.633355367266,34,9575,566,646,49923,NA
"14",2,"reference",10000,"true","uniform","UPDATE",310492,2419064,11.2,20.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,196595,508.659935400188,50077,3621.7096471434,941,191487,4187,4423,50077,NA
"15",2,"clean-run",10000,"true","uniform","READ",316012,3117840,11.2,20.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,195892,510.48536948931,49826,309.102275920202,37,9647,583,664,49826,NA
"16",2,"clean-run",10000,"true","uniform","UPDATE",316012,3117840,11.2,20.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,195892,510.48536948931,50174,3585.252361781,897,191359,4235,4483,50174,NA
"17",2,"avg-run",10000,"true","uniform","READ",428116,3624940,11.2,20.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,198602,503.519602018107,49678,314.910865976891,34,6587,582,662,49678,NA
"18",2,"avg-run",10000,"true","uniform","UPDATE",428116,3624940,11.2,20.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,198602,503.519602018107,50322,3623.10800445133,924,76543,4195,4427,50322,NA
"19",3,"extend",10000,"true","uniform","EXTEND",391168,2038388,11.2,20.2,NA,NA,NA,NA,NA,0,0,0,0,1,1969635,253.854140487958,500000,3935.131746,1015,256511,4751,5007,500000,NA
"20",3,"run",10000,"true","uniform","READ",445992,2863032,11.2,20.2,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,193788,516.027824220282,49892,315.642908682755,40,5983,592,677,49892,NA
"21",3,"run",10000,"true","uniform","UPDATE",445992,2863032,11.2,20.2,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,193788,516.027824220282,50108,3540.80699688672,973,208767,4215,4463,50108,NA
"22",3,"reference",10000,"true","uniform","READ",428844,3307072,11.2,20.2,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,199906,500.235110501936,50183,305.683358906403,35,9175,576,658,50183,NA
"23",3,"reference",10000,"true","uniform","UPDATE",428844,3307072,11.2,20.2,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,199906,500.235110501936,49817,3692.73137683923,1013,254847,4255,4495,49817,NA
"24",3,"clean-run",10000,"true","uniform","READ",572616,72092,11.2,20.3,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,192258,520.134402729665,50384,313.868609082248,41,9647,594,677,50384,NA
"25",3,"clean-run",10000,"true","uniform","UPDATE",572616,72092,11.2,20.3,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,192258,520.134402729665,49616,3543.42347226701,1031,255615,4227,4491,49616,NA
"26",3,"avg-run",10000,"true","uniform","READ",618252,832948,11.2,20.3,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,192770,518.752917985164,50178,310.854238909482,36,9767,588,669,50178,NA
"27",3,"avg-run",10000,"true","uniform","UPDATE",618252,832948,11.2,20.3,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,192770,518.752917985164,49822,3543.54172855365,961,76287,4227,4471,49822,NA
"28",4,"extend",10000,"true","uniform","EXTEND",611848,1784720,11.2,20.4,NA,NA,NA,NA,NA,0,0,0,0,1,1914529,261.160839036651,500000,3824.821306,1077,256767,4615,4843,500000,NA
"29",4,"run",10000,"true","uniform","READ",670672,2862944,11.2,20.4,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,199343,501.647913395504,50023,328.469164184475,45,8663,606,697,50023,NA
"30",4,"run",10000,"true","uniform","UPDATE",670672,2862944,11.2,20.4,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,199343,501.647913395504,49977,3647.3152250035,1011,256639,4283,4563,49977,NA
"31",4,"reference",10000,"true","uniform","READ",671692,3560676,11.2,20.4,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,204752,488.395717746347,50155,321.949656066195,36,5239,592,675,50155,NA
"32",4,"reference",10000,"true","uniform","UPDATE",671692,3560676,11.2,20.4,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,204752,488.395717746347,49845,3770.97777109038,1007,255999,4299,4567,49845,NA
"33",4,"clean-run",10000,"true","uniform","READ",844716,579524,11.2,20.6,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,201109,497.242788736456,50078,340.687866927593,44,5483,615,697,50078,NA
"34",4,"clean-run",10000,"true","uniform","UPDATE",844716,579524,11.2,20.6,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,201109,497.242788736456,49922,3674.10931052442,1006,226303,4291,4579,49922,NA
"35",4,"avg-run",10000,"true","uniform","READ",770576,1594116,11.2,20.6,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,192015,520.792646407833,50027,314.196294001239,38,8519,592,677,50027,NA
"36",4,"avg-run",10000,"true","uniform","UPDATE",770576,1594116,11.2,20.6,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,192015,520.792646407833,49973,3515.43911712325,945,192127,4203,4455,49973,NA
"37",5,"extend",10000,"true","uniform","EXTEND",744932,832948,11.2,20.7,NA,NA,NA,NA,NA,0,0,0,0,1,1949034,256.53734106229,500000,3893.404728,1112,259071,4695,4939,500000,NA
"38",5,"run",10000,"true","uniform","READ",809740,2164624,11.2,20.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,202065,494.89025808527,49976,344.965643508884,48,5879,623,711,49976,NA
"39",5,"run",10000,"true","uniform","UPDATE",809740,2164624,11.2,20.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,202065,494.89025808527,50024,3681.12442027827,1022,256383,4367,4667,50024,NA
"40",5,"reference",10000,"true","uniform","READ",804016,3116036,11.2,20.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,204077,490.011123252498,49867,310.717287986043,40,6263,598,683,49867,NA
"41",5,"reference",10000,"true","uniform","UPDATE",804016,3116036,11.2,20.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,204077,490.011123252498,50133,3749.13851155925,1055,255871,4291,4591,50133,NA
"42",5,"clean-run",10000,"true","uniform","READ",966012,452552,11.2,20.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,208185,480.342003506497,50206,348.269171015416,48,10887,627,715,50206,NA
"43",5,"clean-run",10000,"true","uniform","UPDATE",966012,452552,11.2,20.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,208185,480.342003506497,49794,3816.31232678636,1072,257023,4359,4711,49794,NA
"44",5,"avg-run",10000,"true","uniform","READ",998784,1656984,11.2,20.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,193239,517.493880634862,50248,310.543006686833,39,7115,603,694,50248,NA
"45",5,"avg-run",10000,"true","uniform","UPDATE",998784,1656984,11.2,20.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,193239,517.493880634862,49752,3557.86822640296,968,215935,4231,4507,49752,NA
"46",6,"extend",10000,"true","uniform","EXTEND",925956,3610116,11.3,20.8,NA,NA,NA,NA,NA,0,0,0,0,1,2032890,245.955265656282,500000,4061.368668,1122,259199,4783,5047,500000,NA
"47",6,"run",10000,"true","uniform","READ",998504,959796,11.3,20.8,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,206234,484.88610025505,50036,349.192541370213,51,5623,641,733,50036,NA
"48",6,"run",10000,"true","uniform","UPDATE",998504,959796,11.3,20.8,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,206234,484.88610025505,49964,3764.72930509967,1141,255999,4419,4739,49964,NA
"49",6,"reference",10000,"true","uniform","READ",1094520,2101208,11.3,20.8,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,203930,490.364340705144,50169,331.007115948095,45,5127,611,696,50169,NA
"50",6,"reference",10000,"true","uniform","UPDATE",1094520,2101208,11.3,20.8,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,203930,490.364340705144,49831,3746.18444341876,1068,255487,4347,4647,49831,NA
"51",6,"clean-run",10000,"true","uniform","READ",1135920,4006880,11.3,20.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,215776,463.443571110782,50155,366.988096899611,49,5855,642,733,50155,NA
"52",6,"clean-run",10000,"true","uniform","UPDATE",1135920,4006880,11.3,20.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,215776,463.443571110782,49845,3946.57347778112,1084,258303,4435,4763,49845,NA
"53",6,"avg-run",10000,"true","uniform","READ",1197120,1268500,11.3,20.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,195404,511.760250557819,49823,324.017642454288,37,6235,610,699,49823,NA
"54",6,"avg-run",10000,"true","uniform","UPDATE",1197120,1268500,11.3,20.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,195404,511.760250557819,50177,3559.88813599857,995,195583,4271,4555,50177,NA
"55",7,"extend",10000,"true","uniform","EXTEND",1606896,1466608,11.3,20.9,NA,NA,NA,NA,NA,0,0,0,0,1,2164402,231.010690250702,500000,4324.349284,1197,258815,4899,5215,500000,NA
"56",7,"run",10000,"true","uniform","READ",1162772,3304632,11.3,20.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,222093,450.261827252547,49863,392.245693199366,54,6631,690,786,49863,NA
"57",7,"run",10000,"true","uniform","UPDATE",1162772,3304632,11.3,20.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,222093,450.261827252547,50137,4026.33988870495,1095,257791,4511,4939,50137,NA
"58",7,"reference",10000,"true","uniform","READ",1276768,452528,11.3,20.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,209641,477.0059291837,49783,329.26006869815,48,5419,613,697,49783,NA
"59",7,"reference",10000,"true","uniform","UPDATE",1276768,452528,11.3,20.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,209641,477.0059291837,50217,3835.47700977756,1048,256511,4379,4719,50217,NA
"60",7,"clean-run",10000,"true","uniform","READ",1266664,2674748,11.3,20.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,229513,435.705167027576,49912,389.6792354544,55,1668,679,769,49912,NA
"61",7,"clean-run",10000,"true","uniform","UPDATE",1266664,2674748,11.3,20.9,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,229513,435.705167027576,50088,4180.38516211468,1136,256767,4527,5551,50088,NA
"62",7,"avg-run",10000,"true","uniform","READ",1235692,127228,11.3,21.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,204437,489.148246158963,50044,333.428502917433,40,9535,618,709,50044,NA
"63",7,"avg-run",10000,"true","uniform","UPDATE",1235692,127228,11.3,21.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,204437,489.148246158963,49956,3745.22413724077,985,257663,4307,4647,49956,NA
"64",8,"extend",10000,"true","uniform","EXTEND",1353432,2860296,11.4,21.1,NA,NA,NA,NA,NA,0,0,0,0,1,2209348,226.311110789246,500000,4413.92776,1254,260607,5007,5391,500000,NA
"65",8,"run",10000,"true","uniform","READ",1240104,768832,11.4,21.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,232937,429.300626349614,49538,404.977714078081,63,8959,709,805,49538,NA
"66",8,"run",10000,"true","uniform","UPDATE",1240104,768832,11.4,21.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,232937,429.300626349614,50462,4205.44159961952,1180,258559,4575,5079,50462,NA
"67",8,"reference",10000,"true","uniform","READ",1429080,2417060,11.4,21.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,219496,455.589167911944,50246,375.055307885205,53,6687,662,754,50246,NA
"68",8,"reference",10000,"true","uniform","UPDATE",1429080,2417060,11.4,21.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,219496,455.589167911944,49754,4019.71194275837,1122,257151,4483,4855,49754,NA
"69",8,"clean-run",10000,"true","uniform","READ",1401076,694144,11.4,21.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,235329,424.937003089292,49908,395.785084555582,63,16343,700,793,49908,NA
"70",8,"clean-run",10000,"true","uniform","UPDATE",1401076,694144,11.4,21.1,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,235329,424.937003089292,50092,4290.37990098219,1170,279807,4591,5903,50092,NA
"71",8,"avg-run",10000,"true","uniform","READ",1382268,2659500,11.4,21.2,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,213617,468.127536666089,50014,380.250809773263,45,8647,668,766,50014,NA
"72",8,"avg-run",10000,"true","uniform","UPDATE",1382268,2659500,11.4,21.2,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,213617,468.127536666089,49986,3879.92039771136,1003,257023,4383,4755,49986,NA
"73",9,"extend",10000,"true","uniform","EXTEND",1351304,3683660,11.4,21.2,NA,NA,NA,NA,NA,0,0,0,0,1,2279002,219.394278723757,500000,4553.217494,1261,262655,5091,5807,500000,NA
"74",9,"run",10000,"true","uniform","READ",1422476,1782396,11.4,21.2,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,229883,435.003893284845,50112,421.788892879949,62,16495,735,828,50112,NA
"75",9,"run",10000,"true","uniform","UPDATE",1422476,1782396,11.4,21.2,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,229883,435.003893284845,49888,4171.16456863374,1156,257279,4651,5283,49888,NA
"76",9,"reference",10000,"true","uniform","READ",1545536,3683848,11.4,21.2,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,224913,444.616362771383,49976,376.040739554986,56,4603,676,764,49976,NA
"77",9,"reference",10000,"true","uniform","UPDATE",1545536,3683848,11.4,21.2,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,224913,444.616362771383,50024,4106.83304014073,1177,257151,4543,5115,50024,NA
"78",9,"clean-run",10000,"true","uniform","READ",1822056,2343340,11.5,21.2,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,241675,413.778835212579,49886,426.903600208475,67,9879,728,820,49886,NA
"79",9,"clean-run",10000,"true","uniform","UPDATE",1822056,2343340,11.5,21.2,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,241675,413.778835212579,50114,4384.45326655226,1191,261503,4663,6283,50114,NA
"80",9,"avg-run",10000,"true","uniform","READ",1522192,262276,11.5,21.2,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,213411,468.579407809344,49787,364.673448892281,50,5839,659,760,49787,NA
"81",9,"avg-run",10000,"true","uniform","UPDATE",1522192,262276,11.5,21.2,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,213411,468.579407809344,50213,3875.3099197419,1060,257663,4399,4811,50213,NA
"82",10,"extend",10000,"true","uniform","EXTEND",1618424,3872368,11.5,21.2,NA,NA,NA,NA,NA,0,0,0,0,1,2336015,214.039721491514,500000,4667.639034,1308,259839,5171,6251,500000,NA
"83",10,"run",10000,"true","uniform","READ",1484204,2336684,11.5,21.2,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,243593,410.520827774197,49823,425.544186419927,70,9215,739,834,49823,NA
"84",10,"run",10000,"true","uniform","UPDATE",1484204,2336684,11.5,21.2,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,243593,410.520827774197,50177,4419.04834884509,1200,258303,4719,7159,50177,NA
"85",10,"reference",10000,"true","uniform","READ",1672976,262164,11.5,21.2,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,233760,427.789185489391,49664,394.030323775773,64,10903,701,789,49664,NA
"86",10,"reference",10000,"true","uniform","UPDATE",1672976,262164,11.5,21.2,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,233760,427.789185489391,50336,4241.78093213605,1158,258559,4607,5779,50336,NA
"87",10,"clean-run",10000,"true","uniform","READ",1785808,3432560,11.5,21.3,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,250549,399.123524739672,49613,427.306593030053,71,8687,741,835,49613,NA
"88",10,"clean-run",10000,"true","uniform","UPDATE",1785808,3432560,11.5,21.3,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,250549,399.123524739672,50387,4538.78851687935,1234,260095,4743,7239,50387,NA
"89",10,"avg-run",10000,"true","uniform","READ",1612812,1582152,11.5,21.6,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,218308,458.068417098778,50238,369.718081930013,49,9623,665,760,50238,NA
"90",10,"avg-run",10000,"true","uniform","UPDATE",1612812,1582152,11.5,21.6,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,218308,458.068417098778,49762,4000.19247618665,1044,268799,4447,4867,49762,NA
"91",11,"extend",10000,"true","uniform","EXTEND",1761368,3539292,11.6,21.6,NA,NA,NA,NA,NA,0,0,0,0,1,2423042,206.35218044095,500000,4841.589864,1362,274687,5243,7547,500000,NA
"92",11,"run",10000,"true","uniform","READ",1610144,2162244,11.6,21.6,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,239654,417.268228362556,49795,344.986424339793,68,1717,673,811,49795,NA
"93",11,"run",10000,"true","uniform","UPDATE",1610144,2162244,11.6,21.6,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,239654,417.268228362556,50205,4418.94562294592,1264,260735,4575,11847,50205,NA
"94",11,"reference",10000,"true","uniform","READ",1766140,325424,11.6,21.6,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,227471,439.616478584083,50262,310.873482949345,60,4103,617,736,50262,NA
"95",11,"reference",10000,"true","uniform","UPDATE",1766140,325424,11.6,21.6,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,227471,439.616478584083,49738,4246.99447102819,1200,260607,4443,6375,49738,NA
"96",11,"clean-run",10000,"true","uniform","READ",1907768,3751564,11.6,21.6,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,250174,399.721793631632,50111,335.117040170821,69,6931,654,786,50111,NA
"97",11,"clean-run",10000,"true","uniform","UPDATE",1907768,3751564,11.6,21.6,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,250174,399.721793631632,49889,4665.66822345607,1245,259711,4579,16135,49889,NA
"98",11,"avg-run",10000,"true","uniform","READ",1729248,2217696,11.6,21.8,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,207959,480.864016464784,50059,285.533850056933,51,5943,590,711,50059,NA
"99",11,"avg-run",10000,"true","uniform","UPDATE",1729248,2217696,11.6,21.8,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,207959,480.864016464784,49941,3866.27366292225,1019,258047,4231,5079,49941,NA
"100",12,"extend",10000,"true","uniform","EXTEND",1709564,2524168,11.7,21.7,NA,NA,NA,NA,NA,0,0,0,0,1,2410550,207.421542801435,500000,4816.986294,1361,342527,5063,16799,500000,NA
"101",12,"run",10000,"true","uniform","READ",1761376,1400268,11.7,21.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,241618,413.876449602265,49968,357.865373839257,78,1742,688,819,49968,NA
"102",12,"run",10000,"true","uniform","UPDATE",1761376,1400268,11.7,21.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,241618,413.876449602265,50032,4459.60241445475,1250,258431,4639,17327,50032,NA
"103",12,"reference",10000,"true","uniform","READ",1980736,4060204,11.7,21.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,232920,429.331959471063,49988,317.447707449788,67,10159,637,765,49988,NA
"104",12,"reference",10000,"true","uniform","UPDATE",1980736,4060204,11.7,21.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,232920,429.331959471063,50012,4327.7795529073,1210,261503,4511,10575,50012,NA
"105",12,"clean-run",10000,"true","uniform","READ",2067388,3600696,11.7,21.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,256443,389.950203359031,50085,357.133772586603,73,9335,681,815,50085,NA
"106",12,"clean-run",10000,"true","uniform","UPDATE",2067388,3600696,11.7,21.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,256443,389.950203359031,49915,4766.59258739858,1231,260735,4655,20335,49915,NA
"107",12,"avg-run",10000,"true","uniform","READ",1808040,2226120,11.7,21.8,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,215071,464.962733236931,50050,281.710729270729,52,5543,581,704,50050,NA
"108",12,"avg-run",10000,"true","uniform","UPDATE",1808040,2226120,11.7,21.8,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,215071,464.962733236931,49950,4011.79019019019,1015,259455,4267,6131,49950,NA
"109",13,"extend",10000,"true","uniform","EXTEND",2284440,895216,11.8,21.7,NA,NA,NA,NA,NA,0,0,0,0,1,2453363,203.801883373965,500000,4902.549438,1458,286719,5107,23071,500000,NA
"110",13,"run",10000,"true","uniform","READ",1842760,4183772,11.8,21.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,253026,395.21630188202,50247,347.324815411865,78,2105,669,804,50247,NA
"111",13,"run",10000,"true","uniform","UPDATE",1842760,4183772,11.8,21.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,253026,395.21630188202,49753,4722.40160392338,1290,259071,4667,23055,49753,NA
"112",13,"reference",10000,"true","uniform","READ",2104356,2921488,11.8,21.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,241505,414.07010206828,50098,319.707313665216,69,6067,633,768,50098,NA
"113",13,"reference",10000,"true","uniform","UPDATE",2104356,2921488,11.8,21.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,241505,414.07010206828,49902,4506.39924251533,1266,259455,4599,19551,49902,NA
"114",13,"clean-run",10000,"true","uniform","READ",2165292,2719588,11.8,21.7,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,256198,390.323109470019,50185,332.591033177244,77,10375,649,791,50185,NA
